#chromosome = contig_id
#window_idx = genomic window index
#nanop_meth_frequency = mean methylation frequency from Nanopore data
#wgbs_meth_frequency = mean methylation frequency from WGBS data
#
chromosome	window_idx	nanop_meth_frequency	wgbs_meth_frequency
ctg1000_pilon	0.0	0.023058009174311927	0.021458622018348625
ctg1000_pilon	1.0	0.3122966047169811	0.3038720018867925
ctg1000_pilon	2.0	0.5687477328244275	0.6676393854961832
ctg1000_pilon	3.0	0.6320879076923077	0.6676315692307692
ctg1000_pilon	4.0	0.6911352053571429	0.6810038973214285
ctg1000_pilon	5.0	0.6258618372093023	0.6660223488372092
ctg1000_pilon	6.0	0.852345795180723	0.8401181325301205
ctg1000_pilon	7.0	0.8439003933333333	0.8620067066666667
ctg1000_pilon	8.0	0.7575490869565217	0.7681544608695652
ctg1000_pilon	9.0	0.4909740454545455	0.5265001709090908
ctg1000_pilon	10.0	0.7521577411764706	0.7930346117647059
ctg1000_pilon	11.0	0.49450885714285714	0.5220771071428572
ctg1000_pilon	12.0	0.692857156424581	0.7436310351955308
ctg1000_pilon	13.0	0.8485076962025315	0.8856142151898734
ctg1000_pilon	14.0	0.838386495412844	0.8658394770642202
ctg1000_pilon	15.0	0.06719919049429658	0.05034315437262357
ctg1000_pilon	16.0	0.034432674641148325	0.023949392822966507
ctg1000_pilon	17.0	0.05163866116504855	0.02600787799352751
ctg1000_pilon	18.0	0.053023031730769235	0.026653808653846152
ctg1001_pilon	0.0	0.04027777083333333	0.02777388072916667
ctg1001_pilon	1.0	0.027019226923076924	0.029110583076923074
ctg1001_pilon	2.0	0.026945199367088606	0.02642616424050633
ctg1001_pilon	3.0	0.02464166220735786	0.028360290635451504
ctg1001_pilon	4.0	0.014619045714285715	0.028838175428571432
ctg1001_pilon	5.0	0.028875565693430656	0.024991961313868615
ctg1001_pilon	6.0	0.03232293277310924	0.023274293277310926
ctg1001_pilon	7.0	0.033304207951070336	0.026975889602446484
ctg1001_pilon	8.0	0.026313718775510204	0.025495568163265307
ctg1001_pilon	9.0	0.04253967741935484	0.03744285935483871
ctg1001_pilon	10.0	0.03896246688741722	0.026812889072847682
ctg1001_pilon	11.0	0.02314619188191882	0.029519773431734318
ctg1001_pilon	12.0	0.03209151048951049	0.026688441958041955
ctg1001_pilon	13.0	0.053495663636363634	0.02350213818181818
ctg1001_pilon	14.0	0.03977372670807454	0.03012616397515528
ctg1001_pilon	15.0	0.03232271942446043	0.026185519424460433
ctg1001_pilon	16.0	0.02901705107913669	0.02651900215827338
ctg1001_pilon	17.0	0.03337317573221757	0.025565686192468618
ctg1001_pilon	18.0	0.045444911016949155	0.02906357754237288
ctg1001_pilon	19.0	0.04778247591463415	0.0265849625
ctg1001_pilon	20.0	0.025274508823529412	0.025557490374331554
ctg1001_pilon	21.0	0.025073708978328172	0.027373742414860684
ctg1001_pilon	22.0	0.02306373883495146	0.028699706148867316
ctg1001_pilon	23.0	0.033230189427312776	0.03407902907488987
ctg1001_pilon	24.0	0.061748118421052635	0.026769114473684213
ctg1001_pilon	25.0	0.03026633898305085	0.0276369436440678
ctg1001_pilon	26.0	0.016707891774891775	0.02716084199134199
ctg1001_pilon	27.0	0.03532326277372263	0.024256508029197082
ctg1001_pilon	28.0	0.022006282685512368	0.026454695406360425
ctg1001_pilon	29.0	0.029305811688311686	0.027261783766233765
ctg1001_pilon	30.0	0.04112014234875445	0.029000458362989322
ctg1001_pilon	31.0	0.04720065942028985	0.024440185144927535
ctg1001_pilon	32.0	0.02678571153846154	0.021665490384615387
ctg1002_pilon	0.0	0.0314722910543131	0.023441228115015974
ctg1002_pilon	1.0	0.028067964159292035	0.028821549557522124
ctg1002_pilon	2.0	0.029260878040540544	0.029859520945945944
ctg1002_pilon	3.0	0.513930343283582	0.513945152238806
ctg1002_pilon	4.0	0.5840121526717558	0.5996309633587786
ctg1002_pilon	5.0	0.038561072463768116	0.02471465
ctg1002_pilon	6.0	0.04066361224489796	0.026063558892128278
ctg1002_pilon	7.0	0.03737643669250646	0.027058841085271314
ctg1002_pilon	8.0	0.023445545189504372	0.023569489504373178
ctg1002_pilon	9.0	0.03908259915966387	0.03366284117647059
ctg1002_pilon	10.0	0.02545532270916335	0.028597752988047807
ctg1002_pilon	11.0	0.033610581333333334	0.03737505226666667
ctg1002_pilon	12.0	0.06077363558718861	0.06180556975088968
ctg1002_pilon	13.0	0.4864422450331126	0.5551870033112583
ctg1002_pilon	14.0	0.028729070776255708	0.04402705753424658
ctg1002_pilon	15.0	0.03624068027210884	0.021766096598639456
ctg1002_pilon	16.0	0.04834143540372671	0.022729037267080743
ctg1002_pilon	17.0	0.04094577027863777	0.026935756037151704
ctg1002_pilon	18.0	0.03312616813186813	0.024648455677655678
ctg1002_pilon	19.0	0.02938637715133531	0.02665515994065282
ctg1002_pilon	20.0	0.057360395939086296	0.028034482741116754
ctg1002_pilon	21.0	0.19354100000000002	0.12882208085106384
ctg1002_pilon	22.0	0.049009005405405405	0.034336225945945945
ctg1002_pilon	23.0	0.031837449999999996	0.02636436904761905
ctg1002_pilon	24.0	0.0249618	0.040183153235294124
ctg1002_pilon	25.0	0.031198678160919542	0.0274078214559387
ctg1002_pilon	26.0	0.027446630281690143	0.0231482161971831
ctg1002_pilon	27.0	0.019405319248826294	0.02611881267605634
ctg1002_pilon	28.0	0.014150943396226415	0.028728487735849056
ctg1003_pilon	1.0	0.02997661127819549	0.028199404761904762
ctg1003_pilon	2.0	0.023674985416666666	0.024840773809523813
ctg1003_pilon	3.0	0.08336235365853659	0.020056987804878048
ctg1003_pilon	4.0	0.041067540591397854	0.03039333870967742
ctg1003_pilon	5.0	0.028451277127659578	0.03362631303191489
ctg1003_pilon	6.0	0.02674332878411911	0.025995370967741935
ctg1003_pilon	7.0	0.015804902985074625	0.027217060820895523
ctg1003_pilon	8.0	0.024651694323144104	0.02688761310043668
ctg1003_pilon	9.0	0.0410532375	0.028728467083333334
ctg1003_pilon	10.0	0.03141475446428572	0.02579214375
ctg1003_pilon	11.0	0.032900149230769234	0.03384912076923077
ctg1003_pilon	12.0	0.02547492021276596	0.02562990744680851
ctg1003_pilon	13.0	0.040271765811965815	0.030274094871794874
ctg1003_pilon	14.0	0.5910989230769231	0.46202892615384616
ctg1004_pilon	0.0	0.88666915625	0.9123919744791666
ctg1004_pilon	1.0	0.43235795378151265	0.4498245054621849
ctg1004_pilon	2.0	0.03639930726256983	0.04700756554934823
ctg1004_pilon	3.0	0.02421317668918919	0.028596840878378382
ctg1004_pilon	4.0	0.030795795180722892	0.025604311746987955
ctg1004_pilon	5.0	0.3346254817073171	0.3529899467479675
ctg1004_pilon	6.0	0.719558328125	0.78763578125
ctg1004_pilon	7.0	0.7357940000000001	0.8120202662162161
ctg1004_pilon	8.0	0.06120849816849817	0.0612045684981685
ctg1004_pilon	9.0	0.0279109	0.02613034064516129
ctg1004_pilon	10.0	0.03333332733812949	0.025737658633093526
ctg1004_pilon	11.0	0.060086820512820514	0.0335305547008547
ctg1004_pilon	12.0	0.03735165930599369	0.027516873186119874
ctg1004_pilon	13.0	0.028061224025974024	0.02974223993506494
ctg1004_pilon	14.0	0.058945668407310706	0.06310843054830287
ctg1004_pilon	15.0	0.7822140275229358	0.7945943752293577
ctg1004_pilon	16.0	0.2858312890995261	0.2796599308056872
ctg1004_pilon	17.0	0.025287344827586208	0.027868662068965516
ctg1005_pilon	0.0	0.006765673267326733	0.03200781237623762
ctg1005_pilon	1.0	0.062293665338645415	0.026081159760956176
ctg1005_pilon	2.0	0.0457226866359447	0.024208199539170507
ctg1005_pilon	3.0	0.033581163568773234	0.027107301486988845
ctg1005_pilon	4.0	0.0323899320754717	0.024624829433962263
ctg1005_pilon	5.0	0.036915192982456144	0.028051093859649122
ctg1005_pilon	6.0	0.057371794871794876	0.02851343504273504
ctg1005_pilon	7.0	0.016903914590747332	0.026294765480427047
ctg1005_pilon	8.0	0.012996942660550459	0.025100439449541285
ctg1005_pilon	9.0	0.030821907534246577	0.02625075410958904
ctg1005_pilon	10.0	0.05200301984126984	0.02753092380952381
ctg1005_pilon	11.0	0.011958564971751412	0.025177088135593224
ctg1005_pilon	12.0	0.021481484444444445	0.025265375555555556
ctg1005_pilon	13.0	0.065705125	0.030709544230769232
ctg1005_pilon	14.0	0.1134020618556701	0.11129922577319587
ctg1005_pilon	15.0	0.17117736697247704	0.16286109082568806
ctg1005_pilon	16.0	0.5176767575757576	0.5160040333333333
ctg1005_pilon	17.0	0.0	0.201818
ctg1006_pilon	0.0	0.03841798333333333	0.02665456866666667
ctg1006_pilon	1.0	0.03263002305475504	0.02935773832853026
ctg1006_pilon	2.0	0.0414650564516129	0.027123022849462365
ctg1006_pilon	3.0	0.05306341379310345	0.02823752198275862
ctg1006_pilon	4.0	0.024563347670250896	0.025933567383512546
ctg1006_pilon	5.0	0.05447361111111112	0.027989752564102566
ctg1006_pilon	6.0	0.043922544811320754	0.026441422169811324
ctg1006_pilon	7.0	0.01571154255319149	0.03149702632978724
ctg1006_pilon	8.0	0.030761140562248997	0.030455807228915662
ctg1006_pilon	9.0	0.4932360990990991	0.4840323774774775
ctg1006_pilon	10.0	0.7114739214285714	0.5339860235714285
ctg1006_pilon	11.0	0.04262259479553904	0.03056223643122677
ctg1006_pilon	12.0	0.039574677210884354	0.02560842551020408
ctg1006_pilon	13.0	0.06022864387464387	0.03039784321937322
ctg1006_pilon	14.0	0.03636815223880597	0.02572443910447761
ctg1006_pilon	15.0	0.0358460395256917	0.02726669881422925
